Precon,ID,atan.XY,degree.XY
f2,b2c3a1,-0.25,-14.04
f2,b2c3a1,-0.20,-11.31
f2,b2c3a1,-0.14,-8.13
f2,b2c3a1,0.00,0.00
f2,b2c3a1,0.00,0.00
f2,b2c3a1,0.00,0.00
f2,b2c3a1,0.00,0.00
f2,b2c3a1,0.00,0.00
f2,b2c3a1,0.00,0.00
f2,b2c3a1,0.00,0.00
f2,b2c3a1,0.05,2.94
f2,b2c3a1,0.09,5.44
f2,b2c3a1,0.32,18.44
f2,b2c3a1,0.79,45.00
f2,b2c3a1,0.79,45.01
f2,b2c3a1,0.79,45.01
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a1,n/a,n/a
f2,b2c3a2,-1.41,-80.54
f2,b2c3a2,-1.33,-75.96
f2,b2c3a2,-1.11,-63.43
f2,b2c3a2,-1.11,-63.43
f2,b2c3a2,-1.03,-59.04
f2,b2c3a2,-0.79,-45.00
f2,b2c3a2,-0.79,-45.00
f2,b2c3a2,-0.79,-45.00
f2,b2c3a2,-0.59,-33.69
f2,b2c3a2,-0.59,-33.69
f2,b2c3a2,-0.51,-29.06
f2,b2c3a2,-0.46,-26.57
f2,b2c3a2,-0.46,-26.56
f2,b2c3a2,-0.45,-25.56
f2,b2c3a2,-0.24,-14.04
f2,b2c3a2,-0.14,-8.13
f2,b2c3a2,-0.13,-7.59
f2,b2c3a2,0.00,0.00
f2,b2c3a2,0.00,0.00
f2,b2c3a2,0.00,0.00
f2,b2c3a2,0.00,0.00
f2,b2c3a2,0.32,18.43
f2,b2c3a2,0.38,21.80
f2,b2c3a2,0.46,26.56
f2,b2c3a2,0.52,29.74
f2,b2c3a2,0.79,45.00
f2,b2c3a2,0.79,45.00
f2,b2c3a2,1.33,75.96
f2,b2c3a2,1.37,78.69
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
